g, p, q, pore_AR
1, 0.05, 0.35, 1.089979907777685
1, 0.05, 0.4, 1.2584553829486782
1, 0.05, 0.45, 0.9463488506891302
1, 0.05, 0.5, 0.880673635139966
1, 0.05, 0.55, 0.8549160824218491
1, 0.05, 0.6, 0.9878052299161438
1, 0.05, 0.65, 0.7611478212684274
1, 0.05, 0.7, 0.8340669180455331
1, 0.05, 0.75, 0.9658305890804877
1, 0.05, 0.8, 1.1709159628323764
1, 0.05, 0.85, 0.5562303348711346
1, 0.05, 0.9, 0.7661511334414204
1, 0.05, 0.95, 0.5510345469441875
1, 0.05, 1, 0.7943638062004763
1, 0.05, 1.05, 1.0955873150582425
1, 0.05, 1.1, 0.6050762917626616
